year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,269
1811,228
1812,208
1813,234
1814,201
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1007
1822,1033
1823,1161
1824,1648
1825,3368
1826,5201
1827,6162
1828,5566
1829,7789
1830,7203
1831,8523
1832,10482
1833,10921
1834,12932
1835,15277
1836,16135
1837,16939
1838,18593
1839,22195
1840,29192
1841,31979
1842,31923
1843,35012
1844,39706
1845,43610
1846,41768
1847,43772
1848,41718
1849,41063
1850,52004
1851,66278
1852,63973
1853,70445
1854,87965
1855,121700
1856,131326
1857,136932
1858,142573
1859,168832
1860,177279
1861,183696
1862,188891
1863,189918
1864,196112
1865,211180
1866,218869
1867,216072
1868,212857
1869,221043
1870,240794
1871,230309
1872,241497
1873,256077
1874,272430
1875,279540
1876,285343
1877,300416
1878,339971
1879,368965
1880,379209
1881,387204
1882,440756
1883,468269
1884,522521
1885,562831
1886,603525
1887,606455
1888,638655
1889,717867
1890,759406
1891,813483
1892,849227
1893,864233
1894,882325
1895,953560
1896,1048632
1897,1093721
1898,1219510
1899,1337940
1900,1466503
1901,1517182
1902,1518208
1903,1586031
1904,1687325
1905,1776976
1906,1784847
1907,1876908
1908,1899438
1909,1911433
1910,2098789
1911,2227107
1912,2360272
1913,2306441
1914,3175033
1915,3313332
1916,3033309
1917,2849697
1918,2719697
1919,2025940
1920,1838076
1921,1878289
1922,1952544
1923,2145622
1924,2282777
1925,2357191
1926,2264588
1927,2294931
1928,2373592
1929,2491658
1930,2376767
1931,2157950
1932,2128281
1933,2205087
1934,2273448
1935,2281367
1936,2344527
1937,2388626
1938,2369086
1939,2253321
1940,1870313
1941,1696402
1942,1354273
1943,1188208
1944,1233359
1945,1368236
1946,1532063
1947,1574648
1948,1443532
1949,1606538
1950,1654620
1951,1440600
1952,1473080
1953,1504270
1954,1515511
1955,182343
1956,131901
1957,57143
1958,57876
1959,56969
1960,55820
1961,58535
1962,62396
1963,67477
1964,73967
1965,79151
1966,77581
1967,75830
1968,79213
1969,79805
1970,78258
1971,75004
1972,69613
1973,67069
1974,68734
1975,65967
1976,67044
1977,69291
1978,75914
1979,83011
1980,81833
1981,81802
1982,84431
1983,82910
1984,74120
1985,78702
1986,77160
1987,74870
1988,83171
1989,82512
1990,81543
1991,85022
1992,82242
1993,81020
1994,78559
1995,80121
1996,839
1997,838
1998,770
1999,99
